sentiment,content
happy,aww im ok stuck coach come back nan today love sunshin xx
neutral,
neutral,hairspray hair lighter bong new haircut
sad,sad david tennant left particular want job anyway
happy,et goal achiev someth big exhilar excit scare time \n bob proctor
happy,get hair done bout hit club ha see u later smooch
neutral,good morn sinc talk keep awesom tweet
happy,saw confess shopohol total fell love hugh danci accent 3 need 20 00 tomorrow new top want
neutral,learn french funi school day today mad english
happy,watch jay leno tonit last day tonight show host
sad,soooo bum miss blockparti abl get app listen iphon
neutral,name mixtap mixtap connect move texa gotta find new guy
happy,dear everyon hssu stop walk phone smile wave smile wave back
angry,fuck madden way harder
happy,hi nic excit heard pcd perform jakarta hope u visit town bali well love ya
happy,oh yes quit realli retir g night doll nice chattin ya
sad,awwwwww sorri go miss
neutral,shut know oll like zack
happy,ari look hilari oh g much
happy,fun friend
neutral,still work
happy,happi starwarsday may 4th everyon
neutral,love david soooooo much 3
neutral,miss
sad,tri straighten hair ef hot also need food
neutral,sunshin back hair day new due
sad,snore tl boredom sunk
happy,got back 5km run realli good
happy,aww must amaz brother
happy,true true write atm tri 2 b coher last 4 yrs string narrat meat rot nice
neutral,um hi good morn rough night
neutral,lose gut lol serious gain lil im like look
happy,bbq chicken pizza last night although deep dish glad hear fun p r
angry,support cancel home fibe internet tv afternoon soon arrang altern internet 2 2 angri fedup
angry,sam sean teas say gonna get wing without
neutral,awww watch 18 britney snl young cute realli funni miss britney
happy,receiv mother day card love daughter wish happi mother day
happy,haha like look back work fun sure
neutral,less rain sunshin
sad,r p sammi cat
neutral,3
sad,aw kaelah feel bad sound serious pleas get better soon admir still work hard stuff
happy,upload bamboozl pictur facebook
happy,beauti day wish energi enjoy
neutral,watch bodi lie good film
angry,worst juror ever michell nicol biggest threat bitter bb18
neutral,perki purpl nail polish perki chip
happy,hey everyon mix first singl r u sooo excit
sad,realli want job
angry,worst headach ever histori worst headach today man hate
neutral,woke bank holiday monday colleg got text tom via jason mobil earlier today hope turn
happy,thank
happy,know guy radio disney much energi abl 3
angry,phone dead suck
sad,spare time seem twill spent homework weekend
neutral,good idea brain twitter
sad,lose somebodi close heart lose well
neutral,start day long friday
neutral,mani mile drive today time twitter
happy,aaaah see prez obama hold hand wifey soooo romant even white hous
happy,good time sun dayan ny
neutral,forward email cool scienc event canberra friend thought sydney trekk wrong place
sad,believ metal gear solid song stolen disappoint
sad,feel effect spring sinus kill
happy,best sunday
angry,found parent put dog tomorrow morn upset
neutral,im caus retail
angry,chang hairstyl good suppos n wealth much money hate hairdress
happy,sleep beauti love grad
sad,problem earphon get last 2 month matter brand price
neutral,make smite yeah yeah realli cuti
neutral,arg exil still problem alt tab
happy,yay thanku hug
happy,poooooooor sheeeep
neutral,go liverpool soon
neutral,follow honey
sad,miss back give regard
sad,new job train much meat eat oh well also got approv drive lyft need car day35 sober
happy,hahaha ok hire mom paiseh haha shall wash
neutral,yeah back work get 3 30 bad
happy,prism new webtop mozilla lab rock world
happy,yes realli good even though sci fi love haha know
sad,enjoy sun heavi heart depech weekend spend time man love doubl gut
neutral,tweet eat
happy,work gettin paid sit ars guest yet mum comin eexcit
neutral,mayb caus look innoc
angry,two ten time interest particular afternoon goofbal could say wors
happy,plus hearti pour yachtrock mustacheharbor
happy,haha also look amaz fun
sad,dont want ugli anymor
happy,thank hope allergi nasti flu
happy,good morn sunshin
neutral,hey
happy,ooo love bank holiday x
happy,realli cool pc mac well ooooooooold iphon tho
sad,tell
neutral,kwanghock hao da za ji pa miss food much
sad,sad miss go away parti due much work realli gonna miss kid
neutral,thankyou yes pre wed parti
sad,ewwwi campus cleanup communiti servic
happy,caus stupid peopl dont phone tummi hert
neutral,file got delet
sad,thing better left unsaid better know
neutral,ooh excit new mac day
happy,think gangsterrr ass even fit g unit know
neutral,yeah peep good day catchup everyon
sad,ah lost mah train thunk
neutral,well noth keep swim get eventu
sad,book today well could bother work weather good
happy,anyon eat hot pocket complet satisfi
sad,good start day left money home hot day look free carpark
sad,bed bed bed never answer text anymor thought day sent one never heard back sad day
sad,fun without meee go missss youu
happy,probabl one best surpris ever realli amaz
happy,drunk love u guy
happy,ughhh think plan ruin excit
sad,want experi snow snow suck
sad,birthday
happy,kati love describ normal realli anyth neverchang
happy,thank love miseri busi paramor great band
happy,yeah myst
happy,good morn lincolnshir could use exercis also
happy,new album truli genius happi
happy,free open breezi enjoy thing get better get use
neutral,flat tire citi
happy,end day gotta happi
happy,thank
happy,oh yum rhubarb link fab thank
happy,yerrrr samee haha way play edward thinkk mmmm
sad,found mad men season 3 delay august
neutral,year summer school
sad,columbus want say sorri miss indiana show tomorrow sad wood 8 gs
happy,got dove bird name cat exampl small heart 3 fefe 3 lulu 3 paw 3 updat pic later
neutral,nope neither ladi today
sad,mind sunshin walk summer
sad,realli realli hate biolog u u
sad,6 might serious number 10 sound better wild card race
happy,hiya good thank doin anyth nice today
sad,car car car need one ha ha one found last night want bad sold
happy,happi mom day
happy,sound great look forward
sad,nice wish twitter would tile mine
sad,3 googl wish spend bit time ad bit chrome though
neutral,bore firday even noth
neutral,
angry,realli suck
neutral,truth
neutral,thank
neutral,back see miss truck fish
neutral,well evernot give away wireless sd card 4 fllwng thm twitter tweet abt evernot eyefi us
happy,nooooooooooooo amanda cut hair love hair
happy,pre prepar direct play hale hearti situat child evolv cmmyd
neutral,geno 3hrs ago would went pat neon light got lol drink south philli bar
neutral,seen beauti
sad,accept flaw one use quot mentalhealth psycholog depress anxieti
happy,everyon talk goodi bea09 wanna
neutral,hey scare last night 3 17 sever bad nightmar
neutral,ughhh serious hung
neutral,send blog rss feed site republish send traffic site
happy,bump dj opus drunk car lmao act like u know
neutral,final finish catch blog mention wed detail tell point
happy,want play parachut game
neutral,see u bye see u love hot30
neutral,got bore lunch time
happy,morn erikah u start work song town alway challeng
happy,chore mama
neutral,look like legitim profil counter follow picki follow back
happy,love pitch far chill
happy,hilari freudian slip eh
neutral,yeahhh dont judg pillow
happy,wow leav facebook alon weekend get 60 new notif whew
happy,hospit today shop mom love much
angry,enter registr detail everi time updat
angry,feel everyth would rememb everyth evanora hope would serv fuel creatur anger run rabid
neutral,cannot sleep due watch uktv food keep crave bay think bodi guna ach tomro
happy,haha thank
happy,plant garden last week ive got check
happy,baitersss hope tonight fun
sad,parent decid drop tour de us whole famili hous work
happy,guy play 10 pin mexican great combo bowl good though blame previous broken arm
neutral,oh forgot say u want anymor friend xbox send friend request g11i u want friend game sometim
angry,shit shit mean dall asleep 9am want 9 30 know tire late last night
sad,one day
neutral,dont plan go home watch game plus still work earli cant parti late
happy,ok cute time
happy,omg know mani word time go word money ball key
angry,either look like rage bitch obnoxi laugh someth funni think middl ground
sad,oh noooooo sorri suck hard
happy,haha interest haha
angry,well twitter even work phone anymor
sad,screw goin back bed ill go tomorrow kinda sad
sad,coffe turn good tiday excel
neutral,unfortun
happy,thank ami video awesom see tmh amaz bounci bounci bounci
sad,look forward next week math geographi english french exam total 7 hour
happy,thank make laugh
sad,go sleeeeeeepz
sad,love word fret much im heaven
sad,get discourag simpl mind see vision
neutral,morn done bit 2 week go tri get done advanc
neutral,anyon rememb izon camera well still mine pretti rad
neutral,someth outsid bell wont stop ring think children bike asbo
happy,havin much better day today finish last twilight book yesterday class start next week get yall
neutral,
happy,may 4th happi star war day starwarsday geek dork fb awesom
neutral,join
neutral,happi mother dayi
neutral,see
neutral,yes tax disguis book fee commiss onlin travel portal charg tri ixigo com next time
sad,dread even met catfish still thought
neutral,pick chris botti live boston cd listen drive home tonight moon want end
happy,heeey heeey go read
happy,pug readi go devic updat feel free bombard time time actual get someth done
neutral,must like song
neutral,head work
neutral,readi 3d jona brother experi real brother includ
happy,think piper molar cut thru nice lil nap girl anoth friday night home w lil one
neutral,morn ashleighhh x
happy,bff rock hotel california song done stay next hmmm careless whisper
happy,happi mother dayi andd rest fabul mommi
neutral,get 8th subject remain power generat oper control distribut system autom
sad,thank know happi sad time know got right stuff
sad,tbh credit phone sux cant even text peopl see happen like total grrrsvill
sad,forev straight fix frown u good
happy,mani germ n rodr guez result one mean look like profil pictur
happy,came back see boat rock amaz cool movi definit get dvd
happy,thanx
neutral,wow sound way stress job thought continu edu make move
sad,need water paper towel coke store feel sick go get
sad,man start rain real hard
neutral,sarah mari 711 two week fli
sad,noth aim join sorri
sad,nice action shot miss work pole
angry,offens way make sens work magazin otherwis apolog 4
sad,hate ad depress mentalhealth med someth doctor determin everyon differ ssri
happy,thank know happen awhil
happy,go appar proper set datetim twitter respons need test
happy,food look amaz dessert frozen grand marnier souffl cours eat bar
neutral,know lame
happy,bit littl britain us
neutral,want know audit mander text repli pleas
happy,want 2 year lol hd camcord
happy,give rise etern home aico thing immol succeed mother countri exhilar akt
angry,peopl would rather hang indign anger weari sigh
happy,saw star trek amaz serious good entir cast excel spock kirk especi want see
happy,poor right would probabl give hug
happy,pleas check lmk think first paysit post site
happy,pictur made cri lol
neutral,new post
neutral,finish tenni match lost tho 6 3 1 6 4 6
happy,goodnight actual great night see daniel tomorrow
happy,listen weightless time low thank make listen
sad,yooo myyyyy bust sick tooo shoot long night tonight
happy,total forgot soccer today ugh today actual good
happy,bit soul time 4 mama visial next live environ speak soon
happy,miami profici like pleas name miami beach pikxb
sad,want somebodi hold alma tear tear
neutral,second wish rain
happy,shout nikki pleasssee soulja boy tell em live live
happy,rock home macca sign petit big bang tour aus lol
happy,gift
neutral,make challeng
neutral,jasper clip first favorit twitter messag
happy,thank ballroom danc competit
happy,sound good
happy,dentist chick hot that plus
angry,wakey wakey lemon shakeyyyi haha goin 2 schooliooo rain ugh guess wish right california
neutral,kill bradi gf bradi
angry,live order complet amaz life journey success
sad,listen opeth tri think miss show san antonio fail
happy,good morn gent ya today
sad,boyfriend even say bye
neutral,time play drum
sad,miss show tonight go lake eri enjoy quiet
neutral,dayem comput twpp
happy,heard grapevin might see around today look forward meet
sad,begun ladi gent war racism begun sad segreg continu smh
sad,produc 6 anchor sad goodby miss lynn ashminov miss
happy,start work week littl ac newman
happy,offici whine tweet today noth specifi
angry,someth need done peopl hog machin nobodi use 3 machin one time notfair whypay
angry,adult commit serious crime name protest like burn librari expect get warn
angry,never watch grey anatomi ever ever ever ever ever shonda rime take away anoth og charact fume
neutral,interest head gear lol
neutral,whatev pung haha dont care jk
neutral,phone kayla johnathan cisco woo
neutral,hit special order sound bar woot com
happy,woohoo broom isnt standard seatbelt mine whisper like swiffer
happy,morn sunshin
happy,knack iphon got melt chocol speaker hear ring
sad,well need sulk alway request song know
sad,ah shit chest hurt
sad,enough time get vip know make least
neutral,give
happy,monday end weekend cannot escap wish good week
sad,wonder miseri look like look face cub fan miller park tonit sorri chicago friend tonight night
happy,loveee cashi ms jenkin shitttt
happy,18 \nmichael carrick struck back net much delight pressur man u fanz mou
happy,hi upload 5 complet new chines lesson pleas feel free watch enjoy
neutral,dude could total get sell denton musician profit
neutral,lao mein spanikopita haha would know
neutral,got day paint
happy,awww let better next 30th xd
neutral,see 08 08 09
neutral,everyon say
happy,usual two famili parti today happi birthday lili
sad,beauti blog abl acess anymor
neutral,salvem
neutral,yaa hi ami im show new friend youtub
happy,yay moment today yay hope
happy,awwww got photo cute bunni
happy,wow nice roar see good thing futur
happy,thank much neitherrrr
happy,twitter reunion would awesom meet lol iwond howd iget pull
happy,like startrek person feel startrek movi better xmen
happy,way burial
happy,goodi bag car boot includ cute cross stitch bird craft room man sell sweeti
neutral,ya heard 7 giant leap right direct work comp though ill enquir
happy,midnight outta happi mother day fellow mommi non mommi may everyon special day
neutral,work okay
happy,time life
neutral,know short week certain drag
happy,tell everybodi said happi mother day love ya 1 fan love miley rock
happy,never better follow local tweepl right
sad,go miss miss suhana
sad,hate post con blue avoid plagu yay yay constant hand sanit
angry,let id fume poor keep
neutral,nice rather one lol
neutral,spent time guild war 4th birthday updat menageri welcom new featur ranger anyway
sad,drunk hid key well sober find anywher
neutral,knighti knight
happy,crazi busi grin mother day weekend lot abi send well wish
happy,watch yes man good
happy,go help lancey cook
neutral,chill home
sad,play song send request
neutral,cnn subscript googl reader help repost
happy,good thing sick cough like ab workout mayb ab defin time better
neutral,say good say bad afternoon
neutral,e freak
happy,happi superwoman day
happy,three day month two ex wive home could wors know could oilandga
neutral,homework
happy,nothinbg home jump shower street call meeeeeeee 4 tonight tell
neutral,way get thing done distract
happy,grate daughter happi mother day okasan thank everyth alway
sad,ughhh studi final wish could go prom
sad,lucki 6 week summer
happy,hi susan read blog realli good look forward tweet updat
angry,insist give best insult first
happy,watch amaz live ly broadcast finfin music
neutral,well bro
happy,love necklac fun idea
angry,sex offens happen across race cultur creed castrat
sad,feel like death evil headach need pack drive parent bum
happy,georg lopez bed mommi day tomorrow wish hous hugh lauri sexay sometim like way older guy
neutral,lol wow watch x men last stand right
happy,phone keep beep thank alan speeeeeen
happy,coupl od day time need get sleep night night peac
happy,thank add tri sign later get home still luck email someon
angry,bucket list bad film choic even may need therapi
happy,yeah thank back soon see ya got
angry,ear pop
neutral,got pool still box need level suitabl patch ground set
happy,mmm hot chocol ugboot topgear life good
sad,friend feel though need bring gift hous warm mess
sad,friend tell pretti trigger tell ugli first confus realis pretti ugli tru sad tumblr
angry,oh suck tell dh act like grown mayb stress
neutral,ha good morn may fourth
neutral,take nap bedalii
neutral,may 4th
happy,good know pln earthday happen neck wood
happy,welcom bash kick pretti cute
happy,weetabix choco milk yum
happy,happi mother day everi singl mom love mommi
happy,happi mommi day
angry,answer 50 text pls snap
neutral,oh man jealous got
neutral,get readi start work week tgif monday
happy,lack go hunt lol refresh memori one clue 2
happy,ador
happy,haha took quiz fb miss mcfli one
happy,sister partyyyy
neutral,work today
angry,tri let anger seep review resent time wast book like time precious
happy,norwood hous parti haaaaaa yaaaaaaay smile
sad,rooney oh dear oh dear fuck dread
happy,1 week 1 one day go
happy,beauti day lord made rejoic glad
happy,happi mother day hope great day today
neutral,stinkin ador want come check studio
sad,comin back mall didnt get anyth caus money stuff tuesday pay day ilu joshi
sad,cant live anymor roblox got termiant sad killm lol robloxgam
happy,hahaha secret door real batcav
sad,sick home bore want get better alreadi enjoy colleg grad
angry,suppos work wtf dude thank piss furious
happy,nooo hey back next week move back good
happy,watch amaz live ly broadcast music
neutral,sleepov nobodi stop camera hand
happy,hey breezi wanna give coffe post snap pleas
neutral,tire readi bed realli mood salt pepper chicken wing noodl money chines
happy,parad yesterday powderhorn guess ava bella similar mesmer whimsic fairy
happy,waitin dr dee lunch beauti ladi gym yeah need loos 10
sad,sorri main twitter im depress
neutral,movi
happy,sound like nice relax afternoon mow lawn walk dog
happy,happi mother day hope awesom day good rest night
neutral,case miss fb status look maui hotel recommend yes maui
neutral,happi mother day mom
sad,film carniv music video remind cherri festiv use go back home ahhh memori
neutral,work hop citi gotta miss basebal
sad,guy read fanfict like lost housemd one tvshow link bio
sad,never tast happi perfect fortun success mix sad success sad perfect fortun mix
angry,bore start work weekend soon 1st need get tim coffe make damn night shift
sad,unopen pack goat chees starin face starv din til 6
neutral,mum drive eric jt night
happy,want anyth specif want see puppi
neutral,like g1 chang feel like googl send email tell thing gunna phone
neutral,start account twitter
sad,put damper mood
happy,go watch tv crazi night 7am work tomorrow live somehow least mean finish earli
sad,tri 2 get earlier flt 2day turnd away bcuz 2 late agent let pas silvereliteleftbehind
neutral,listeninq music butterfli fli away miley cyrus
happy,love brother miss see tomorrow rock
happy,went site would love help work whatev help support caus awesom
happy,rain miss rain much grate
sad,babi left gonna get readi leavin chili full
sad,wow effect thank updat
neutral,search ryan cabrera josh kelley realli good
angry,yo gurl dm tribut snapm dm nude tribut cumtribut cock snap cum swallow
neutral,buy one shirt know want
angry,guy across realli ugli suit cannot stop express displeasur
happy,happi mother day
neutral,need write term paper monday busi tonight busi tomorrow busi sunday shit need fix prioriti
sad,rather laugh rarest genius beauti allianc kept sad melancholi
happy,threee word youtub bamboozl show
neutral,got outta work franki hous
happy,hi nick realli like seri jona awesom see soon concert kiss marta
happy,clean day
sad,smash show tonight love killer wish gut shame got cut mid song end
neutral,got back saw yr tweet 7 30pm monday mayday public holiday
neutral,ce tare tin castil pe urechi si n dat drumu la muzichii bun asa cred ca vopseaua afectat rau
neutral,say hi dan katherin zachi
neutral,total skid road
sad,go soon hope hear late nite humor
happy,dooood work tea time later work tonight
happy,cook breakfast mom happi
happy,stop believ remix sure sacrileg
happy,sound like lot fun nick lol
happy,oh dear sorri laugh
neutral,nacho tudor think
happy,go sleep fun
happy,goodnight trend topic lol
happy,omg littl girl bgt
sad,yes went smooth bad get back work though enjoy friday
neutral,way crumbl cooki wise
happy,hi yeah fine girl haha yeah see u thursday hehe tempt chai
happy,nice one hope other appreci
happy,need pack cali cali cannot waittt think glass wine order celebr weekend vaca still work 2morrow tho
happy,fun twitpic purpl hair
happy,oh thank thank hope video onlin
happy,soupi soup time today heinz cream chicken mushroom yum bbl
sad,crash wi high miss mayfield
sad,gross hot cotton everywher hello allergi
sad,wrote lyric new song excit slept full stomach worst feel wake still feel full euggh
happy,elop wait see pictur dress breath take
neutral,like saw movi 4 8 would give 5 tyler perri
happy,yes download websit sinc tweet must work
neutral,yeah revis gonna go starbuck instead
happy,good morn camper got lot sleep last night thank thank ash thank
happy,want achiev level optim
sad,thought sunk teeth someth meant 2b sook
neutral,made taco nacho
happy,thank carri crazi
neutral,mom get paid
neutral,hand made dan jenn sock blocker made exot wood one call purpl heart
angry,best reveng massiv success rank sinatra
neutral,forecast sf friday may 29 66 degre
happy,thank check
happy,thank follow famili photo beauti happi mother day wife
neutral,tweet later byee
happy,well saw dead zone first time good tv show back
angry,huh alway fault huff sulk
happy,yaaaay think might ace histori test today
angry,watch good famili premier onlin think may last episod watch pretti amaz mediocr pass
happy,good morn thank tweet great day
happy,best run skirt scene well
sad,tantra anyon kirki know sad drown sorrow
happy,hahaha n u
happy,soon new job start happi
neutral,alway self thing go without problem even tri hard self smile
happy,pick copi print brochur bwrc excit
happy,go gold coast mother day lunch
neutral,goodnight world 5am
neutral,hey
sad,howev got garden someth etern pleas
happy,good morn hope throw back coffe like right
neutral,full nice dinner
happy,im follow im follow im sorri ahhahah miss
neutral,ahh would good reason heh hope goe well hun
happy,noth yet still look let sure lunch next week
happy,vote hope win
angry,rememb tas gamedev program said temper tantrum class time lol
neutral,aww youtub
angry,oh fuck return supermarket doom find noth drink
angry,feel like crap today got speed ticket 1st sinc 5 year blow
sad,miss cari want drink chocol milk
happy,love awesom
happy,happi made 23 necklac 24 hour lol happi mother day mother
neutral,hope feel better soon
neutral,hi one kiwi artist anoth kiwi artist
sad,plus janessa hurt feel
neutral,realli wish could
neutral,bad sort want miss know miss
angry,forgiv might make us look weak weakest person one hold anger hatr reveng
neutral,rock week think danni gonna go home week never bottom three realli good singer
sad,fuck ahaha hate life sometim repli bad thing even bad kid whatev fml
sad,ugh feet feel like go fall
neutral,say trust one
sad,play st pete sold month im tri go orlando one live st pete lol
happy,thank tweet
neutral,aww man thunder lightn pour rain
angry,stupid storm river us tonight
neutral,welcom
neutral,live version much better
sad,rosi day today goal leav hous b4 mom get hmmm mayb rosi day reschedul wed
neutral,found one know use twitter
sad,listen music feel kind
sad,get rotf toy till much later tell anybodi worth get
happy,good morn world
neutral,gone
neutral,ugh much happen today realli need hug
sad,retir 20 minut ago blue
happy,recollect jog almost perfect except unkown type hang vehicl much mental nois 6 mile jog
happy,may send copi herothegreyhound either e book real paper one boy greyhound smile tear
sad,take brother airport gym
happy,love old school horror movi got elvira tattoo back
angry,anger boil
happy,thus begin 2 week holiday \n holiday cheer ghastinoir rest
happy,good morn
sad,good bore work
sad,santa cruz interview jamba tomorrow morn
happy,glorious sunni day london town drama school fight peopl sword protect romant structur face
happy,take pictur awkward smile \nme pictur day awkward smile \nconclus stop smile \n pictureday2016 smile ornot
sad,bore tear without boy dad week
happy,ooh love ridicul amount revis left
happy,love twitski
sad,today say goodby second good friend week dmp least sun shin defin work pm
happy,delici let walk sometim hubbi other miss
happy,alexand ovechkin definit new favorit nhl player
happy,love day hope continu weekend stuck desk today
neutral,today xkcd look forward daili updat week
happy,luckiest girl world 3
angry,get gd news god sake
neutral,press previous page
happy,back li 2hour ago n still made work yay
sad,eat sandwhich sinc guy meet sushi brag
sad,wish yesterday friday
neutral,chang onlin nicknam mtabi hope uniqnam well hope chang goe well domain avail
happy,ok happi hear feel fine
angry,way blood boil littl bastard
happy,forgot lumpia pancit fridg last night yay
sad,happi
happy,like heaven blushhhh
sad,urgh grime likey
happy,dw funni
happy,good see famili good day today
happy,plan mother day special belov mother
happy,definit readi plate pancak
happy,beauti sincer balanc act grief hilar
happy,yeah im gonna take ur pictur ipod babi
neutral,wait get back nambu stop work 10 5 7
neutral,yeeee wassup
happy,miss bham
neutral,cook wanna measur dick daddi size
happy,ahhhh \you soo smart thank school thought taught
happy,be physic realiti reflect alway joy extend live
happy,panera bread potato chip best 715 morn
happy,hahaha tv realli thing anyway music girl
sad,time thought never sober still grace beyond limit
neutral,brought john tucker must die first copi reck watch
sad,asthma issu today bah
happy,realli chose wrong time year didnt
neutral,thank
happy,rice crispi morn bring back good memori
happy,happi mother day amaz women put us crazi demand children thank much
sad,music teacher either expir forgot lesson leav outsid wait ride pick 1 hour
neutral,well ever head back west coast hit tini place hack hang beach
happy,laughter power thing everybodi deserv laugh u like shitti romcom get giggl outta planet uranus power u
happy,bugger would nice typic head bristol
happy,hehe tweet time basto talaga chux
happy,got best dress
neutral,want go work
happy,haha thank
neutral,ohh cours stop though end dream john woodvin zoe thorn one sign programm
happy,cathylo fran glad vent thank bestfriend
happy,sun shine bright day begun store wander around les calanqu mayb vin definit
neutral,think go movi tonight oda
sad,yep tri beat cold winter morn swim alway refresh good start day
neutral,wont let twitter keep say twitter capac someth bird keep come
happy,thank rain garden kid start garden lapbook thank heidi
happy,omg taylor london near scotland pleas come visit glasgow
happy,back pat 2 5 10 11
sad,come come arm go anywher toni swear steve told quiet solemn
sad,mood
happy,figur bounc
happy,may man live well long enough leav mani joy widow behind
neutral,think make googl wave wordpress plugin next month realli want test
neutral,go father hous question domest food peopl around vs bed tv world dont know
angry,great time last night eye burn hurt bad
sad,cours sink stud knee like forrest
angry,hate work especi weather good
neutral,realiz cool enough ever get shout player play hahahah
angry,grr hate damn near forc go place especi sit bus entir day sit hous podunktown va
neutral,morn sinc day move abl stay long
sad,sorri dead ass gonna
happy,sorri listen bat gd dude never got tell bat amaz 33
sad,im tire sick better sunday sing morn night
angry,hate bit
happy,okay hilari
neutral,well tricki one would say 6 5
neutral,last day adob buuuut regist onlin tech write cours
sad,alon still watch tww eat italian chocol solv logic puzzl
angry,offend \ni someth \ngive life hurt \n\n haikuchalleng offend poetri
sad,work go
happy,amaz unproduct day love time go catch sleep
happy,amaz best time hope good weekend
happy,lol know funni ahaha
happy,good job
sad,aw wish could get readi atlanta come work sinc behind work
angry,gosh hate school start monday class start 6 00 end 12 00 never chanc
neutral,tgif much work weekend
happy,oh yea yea yea eat tonit woo eat tonight eat tonit diet find nemo
happy,cowboy western seen good luck
angry,whyareyoustillher one tree hill cancel show game everybodi hate chris n dont nobodi watch u n e
sad,sit traffic tri escap campus feel hellish
happy,dude wanna play bass buy bass rejoic
neutral,go eat breakfast jay jay cafe one
sad,sad smutti
happy,passeng car next u cheer ask cigarett direct
happy,time school feelin good 5 jog good aloha
happy,back home bath kid iron cloth hubbi nephew graduat tonight rememb 2
neutral,put adida josh denyer xoxoxoxoxoxo
happy,
angry,find initi even thing reveng
neutral,post crash spotlight spin wheel index time machin backup drive natur drive index list
happy,might start spanish min nope xx
neutral,translat xmind languag
sad,nah ask realli insight teacher question could write kickass report sad never know
happy,feel like romeo juliet bryant wallinwood montagu capulet fb
sad,get hair done miss
happy,welcom
happy,dude pester armi personnel mumbai airport let hold much request leav
neutral,dam wish celeb could frikken follow baaaaaaaaaaackkkkkkkk
sad,wattup bro how go see ya twitter kick butt jv
angry,get gym discov forgot put gym shoe back bad rage wwhhyyi
neutral,hard knock life
sad,feel like burden everi day wast know get bc get discourag wanna lay around
neutral,hello twitter
happy,read onlin articl mention meh happi stuck guy tri get rid
happy,lol hilari
angry,gonna eat pick brother get car wash final go home ressssst watch fast furious movi
sad,miss
neutral,mani thanx guy
happy,home tomorrow run spin time chiropractor laundri shop visit famili miss nathan
happy,tweet sixteen day miss fun though ingrid mon frakk awesom bbq today
sad,oh poor
neutral,bonjour twitterland
sad,pretti took like hour ursssss
happy,good see hear well andi
neutral,three first 2 week june
sad,mouth hurt wish could cut head
happy,wave back good day
happy,oh yay glad fun babi
angry,sorri burst anti allo spam fuck messag app launch 2016 without encrypt default
neutral,leav 27th back 5th 6th
happy,well peer train peer taught peer learn
angry,dentist said go numb front lip feel got lip like pete burn right pout
sad,figur repli tumblr sorri get nyc 6 4 go event b4
happy,reali want go caus nice everybodi busi
angry,yo gurl dm tribut snapm dm nude tribut cumtribut cock cum swallow
happy,memphi look bright rojo look like rojo
sad,go stop tweet lsat studi
sad,food hous sugar ant
sad,stupid rain picnic cancel till tomorrow
happy,love guy best
happy,hahaa awesome
happy,thenicebot melbj smile wink across web thenicebot
neutral,take break sew dish
happy,hope relax day feel laid back stand
neutral,hahaha tell
angry,get offend furious writer style tast ultim daft suppos
happy,yo 3 v 3 overtim hockey got sweati damn ish exhilar
neutral,besti twitpic besti
happy,migrain leg pain woe go bed 2 flight stair away happi mother day
angry,meanwhil get 7 40am train hope realli realli enjoy hotel shennan
neutral,back weekend get away
neutral,ok person good noth
happy,excit usernameregener wait wish could get sign copi happi
neutral,clean room
happy,tweep tweep haha
happy,fun earli night vega pool tomorrow
happy,incred sweet good hubbi
angry,look forward open stuartspeci liter yell tv umbrag
neutral,morn everyon
sad,idiot ok most skint hell could done someth
sad,sad leav broken bed hold depth despair name love
neutral,feel tierd much colleg work
happy,want come back onlin talk gossip horribl thing transpir today
happy,thx nice go alright mail yes cours leav comment blog cheer nap
happy,hearti welcom follow
sad,one tesla dealership
neutral,morn beverley your like breath fresh air twitterland good day
sad,puppi freak ador want let go fuzzypuppi
angry,imagin twitter fume corbyn lose elect smith lead labour wors result suggest corbyn imagin
sad,unfortun us look like funni peopl twitter move fb start flitter
neutral,fml still awak melatonin work
happy,rose romanc releas thursday gonna get bps
happy,hell yeah miss u last nite lol u like opinion
happy,haha know work blip apart obvious thank reblip song nice day xxx
happy,experienc uniqu winnipeg tradit known social tri pace
angry,stupid msn wont let onnnn
happy,feel love mom got nikon cool pix birthday
sad,feel realli sick
happy,awesomeeeee
happy,repent trust christ lowli pain also joyous peac absolut glorious 2 2
happy,lol omg repli back ppl thx
neutral,
happy,piti
sad,day noth
neutral,hayley william pretti much amazz
angry,confuzzl
sad,guess gonna tri nap thing 2day sinc kid cooper yet week sure 2day differ
sad,get hate tweet sasd
happy,get readi mother day love mom
sad,game thingi mine final die 5 year rip
neutral,mention hw fat ima get frm wrk n
happy,big hug
happy,soo honour u cld chk beat perhap sm advic wat nd 2 improv da overal sound music
sad,april 25th 2010 keep good work sober prouder
neutral,boss move nyc
happy,lol know get read sometim though cos dad alway chuck get home
happy,oh ok yeah felt dumb like think would known anim least lmao
neutral,morn folk light tweet today hurrah crowd cos busi friday insid sunshin
happy,smile face beat heart thank kind much mind follow 96 127
sad,sad belov boy onlin wait everyday
sad,penni dread season 3
neutral,iphon
happy,poker night instead kate voegel guess
happy,ah seen either way get experi fantasi sound shock wave vacuum space heh
neutral,hello request
sad,\n\nhear nois akam open eye sat face juvia expect see someon around staid
happy,reflect grind real work 2 job school ksudsm ksu recruit instructor tumbl cheer gradschool
happy,rewatch glee break tear glee
sad,ever realiz never fulli everyth want feelin
sad,leopard never chang spot lost
neutral,time littl carb big cup water sleep next 5 year old son goodnit
happy,prefer observ insight call see ice cream fanci tonight
